1, 1, 1, 1, 1
1, 2, 0, 1, 2
1, 1, 2, 3, 4
2, 1, 0, 0, 0
3, 1, 1, 2, 3
3, 2, 0, 0, 0
3, 2, 1, 1, 1
3, 2, 5, 5, 5
4, 1, 2, 3, 4
4, 2, 1, 1, 1
4, 1, 4, 5, 6
4, 1, 2, 2, 2
5, 1, 2, 3, 5
5, 2, 1, 4, 3
5, 2, 1, 2, 3
6, 1, 2, 3, 4
6, 2, 0, 0, 0
7, 1, 0, 0, 0
7, 2, 1, 10, 11
8, 1, 2, 3, 4
8, 2, 1, 2, 3
9, 1, 6, 1, 2
9, 2, 4, 1, 3
10, 1, 2, 2, 2
10, 2, 4, 5, 6
11, 1, 1, 1, 1
11, 2, 0, 1, 2
11, 1, 2, 3, 4
12, 1, 0, 0, 0
13, 1, 1, 2, 3
13, 2, 0, 0, 0
13, 2, 1, 1, 1
13, 2, 5, 5, 5
14, 1, 2, 3, 4
14, 2, 1, 1, 1
14, 1, 4, 5, 6
15, 1, 2, 3, 5
15, 2, 1, 4, 3
15, 2, 1, 2, 3
16, 1, 2, 3, 4
16, 2, 0, 0, 0
17, 1, 0, 0, 0
17, 2, 1, 10, 11
18, 1, 2, 3, 4
18, 2, 1, 2, 3
19, 1, 6, 1, 2
19, 2, 4, 1, 3
21, 1, 2, 2, 2
21, 2, 4, 5, 6
23, 2, 5, 6, 7
24, 2, 5, 8, 9


